property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat","The Wave (Almouj), Muscat•",2,3,215000,145,For Sale
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,"Al Khoud, Muscat•",3,4,150000,768,For Sale
‎فيلا جديده راقيه للبيع في المعبيلة الثالثة,"Al Maabilah, Muscat•",6,6,120000,408,For Sale
أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء,"Barka, Al Batinah•",3,3,350000,16,For Sale
أرض للبيع او الاستثمار بناية سكنيه تجارية,"Al Buraimi, Al Buraimi•",3,3,250000,547,For Sale
ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala,"Ghala, Muscat•",3,3,500000,2,For Sale
فيلا راقيه للبيع في الخوض السادسه,"Al Khoud, Muscat•",9,10,285000,614,For Sale
الأرض للبيع مساحه ٢١٠٨ م,"Barka, Al Batinah•",3,3,50000,2,For Sale
"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah","Al Sifah, Muscat•",2,2,95000,124,For Sale
"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in","Al Amarat, Muscat•",4,6,98000,195,For Sale
2Bedroom Lake View Apartment for Sale in Hawana Salalah,"Salalah, Dhofar•",2,2,85000,120,For Sale
Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View,"Salalah, Dhofar•",1,1,50000,55,For Sale
2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah,"Al Sifah, Muscat•",2,2,95000,129,For Sale
"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City","Al Seeb, Muscat•",4,3,175000,333,For Sale
شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham,"Sultan Haitham City, Muscat•",1,1,53000,67,For Sale
2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة,"Al Sifah, Muscat•",2,2,73000,120,For Sale
Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة,"Al Sifah, Muscat•",2,3,170000,140,For Sale
"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah","Al Sifah, Muscat•",2,2,110000,124,For Sale
"Sifah Farm 2+1 Bed for sale, Jebel Sifah | شاليه للبيع في جبل سيفة","Al Sifah, Muscat•",2,3,190000,990,For Sale
فيلا غرفتين للبيع في هوانا صلالة | Villa 2BHK in Hawana Salalah,"Salalah, Dhofar•",2,2,165000,131,For Sale
2Bedroom Duplex Villa For Sale – Hawana Salalah,"Salalah, Dhofar•",2,2,135000,124,For Sale
Furnished 4-Bedroom Twin-Storey Villa for Sale in Jebel Sifah,"Al Sifah, Muscat•",4,4,335000,344,For Sale
Fully Furnished 2-Bedroom Villa for Sale in Hawana salalah,"Salalah, Dhofar•",2,2,160000,131,For Sale
Apartment for sale in Muscat- شقة للبيع في مسقط,"Yiti, Muscat•",1,2,87000,79,For Sale
Courtyard Villa for Sale -  فيلا للبيع,"Yiti, Muscat•",3,5,238000,252,For Sale
Apartment for sale with 3 bedrooms- شقة للبيع بثلاث غرف,"Yiti, Muscat•",3,4,220000,164,For Sale
Apartment for sale with 2-Bedrooms شقة للبيع بغرفتين,"Yiti, Muscat•",2,3,132000,122,For Sale
Villa in Muscat for Sale فيلا للبيع في مسقط,"Yiti, Muscat•",4,6,468000,459,For Sale
Townhouse for sale in Sultan Haitham تاون هاوس للبيع في مدينة السلطان,"Sultan Haitham City, Muscat•",3,3,111000,194,For Sale
2 Bedrooms Sea View Villa Jebel Sifah | فيلا غرفتين على البحر جبل سيفة,"Al Sifah, Muscat•",2,2,265000,129,For Sale
Marina-Facing 3-Bedroom Apartment for Sale – Al Mouj Muscat,"The Wave (Almouj), Muscat•",3,3,240000,195,For Sale
Park View| Private Garden| Luxurious Amara 5BHK Villa in Jinan Island,"The Wave (Almouj), Muscat•",5,6,714000,455,For Sale
توين فيلا بموقع ممتاز للبيع في العامرات مرتفعات 2,"Al Amarat, Muscat•",6,7,82000,338,For Sale
تملك شقتك الدوبلكيس من طابقين ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•",2,3,49000,105,For Sale
تملك شقتك الفندقيه ف العذيبه بالاقساط علي 48 شهر بدون فوائد,"Azaiba, Muscat•",1,2,29000,60,For Sale
Own Your Shop with Residential Visa in installments over 8 years,"Muscat Hills, Muscat•",3,3,39000,15,For Sale
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,"Muscat Hills, Muscat•",3,3,39000,15,For Sale
فيلا للبيع في الوادي الكبير مع الأثاث,"Al Wadi Al Kabir, Muscat•",9,6,165000,601,For Sale
محلات للبيع في الخوض مكان جميل جدا و ممتاز,"Al Khoud, Muscat•",3,3,40000,26,For Sale
فيلا للبيع في موقع مميز في المعبيله,"Al Maabilah, Muscat•",3,5,79000,600,For Sale
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,"Azaiba, Muscat•",7,6,168000,700,For Sale
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,"Al Hail, Muscat•",6,4,110000,623,For Sale
توين فيلا جميلة للبيع في المسفاة,"Misfah, Muscat•",5,7,90000,312,For Sale
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,"Ghala, Muscat•",2,3,55000,103,For Sale
(freehold) 1bhk for sale in muscat hails,"Muscat Hills, Muscat•",1,2,66000,74,For Sale
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),"Barka, Al Batinah•",3,3,28000,300,For Sale
للبيع بناية في دارسيت مؤجره بالكامل,"Darsait, Muscat•",3,3,185000,586,For Sale
شقق راقية للبيع في ولاية العامرات (بناية الميرا),"Al Amarat, Muscat•",2,2,28000,95,For Sale
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,"Bosher, Muscat•",3,3,115000,415,For Sale
Buying a villa with 10% down payment for 4 bedrooms,"Yiti, Muscat•",4,6,277000,285,For Sale
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,"Yiti, Muscat•",2,3,127000,120,For Sale
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,"Al Khoud, Muscat•",1,2,59000,83,For Sale
