property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
15% Down Payment| 30/ 70 Payment Plan| Sustainable City Yiti,"Yiti, Muscat•",1,2,89000,80,For Sale
30/70 Payment Plan | Luxurious Layout | Sustainable City Yiti,"Yiti, Muscat•",1,2,86000,80,For Sale
Lavish Corner Standalone  4BHK Villa For Sale in Wadi Zaha,"Al Seeb, Muscat•",4,5,349000,388,For Sale
30/70 Payment Plan | Amazing Facilities | Sustainable City Yiti,"Yiti, Muscat•",1,2,86000,79,For Sale
Luxurious Layout | Easy Payment Plan | Sustainable City Yiti,"Yiti, Muscat•",3,4,216000,164,For Sale
Flexible Payment Plan | 5% Down Payment | Sustainable City Yiti,"Yiti, Muscat•",3,4,213000,16,For Sale
5% Down Payment | Spacious 2BR | Sustainable City Yiti,"Yiti, Muscat•",2,3,167000,12,For Sale
Payment Plan| Waterfront Lifestyle| Upscale 2BR+Study| Bellevue,"Muscat - Other, Muscat•",2,3,358000,158,For Sale
SR-AH- 155 Villa For Sale in Al Khoudh Hay Al Kawtharفيلا للبيع بالخوض,"Al Khoud, Muscat•",5,7,100000,369,For Sale
ارض للبيع في المعبيلة حلة النصر,"Al Maabilah, Muscat•",3,3,36000,300,For Sale
أرض صناعية للبيع في الجفنين الرسيل,"Al Rusayl, Muscat•",3,3,71000,1,For Sale
توين فيلا كورنر في المسفاة,"Misfah, Muscat•",4,6,90000,294,For Sale
أرض الخط الأول شارع الوكالات الوطية,"Muscat - Other, Muscat•",3,3,450000,906,For Sale
4 Bedroom Extended Villa for Sale In Al Mouj,"The Wave (Almouj), Muscat•",3,3,395000,450,For Sale
"4 Bedroom Villa, Al Jissah, Muscat Bay, Oman","Muscat - Other, Muscat•",4,3,350000,460,For Sale
شقة دوبليكس للبيع في العذيبة - Duplex apartment for sale in Al Aziba,"Azaiba, Muscat•",2,3,57000,108,For Sale
5 bedroom villa for sale in almouj,"The Wave (Almouj), Muscat•",5,6,578000,455,For Sale
Apartment for Sale in sultan haitham city Muscat,"Sultan Haitham City, Muscat•",1,2,53000,82,For Sale
Apartment for Sale with 1 bedroom  in sultan haitham city,"Sultan Haitham City, Muscat•",1,1,48000,74,For Sale
Villa for Sale in Jabel Sifah with three bedrooms and Majlis,"Al Sifah, Muscat•",5,6,183000,183,For Sale
Villa for Sale with 5 BHK in Muscat Yiti,"Yiti, Muscat•",5,6,1000,487,For Sale
Villa for Sale with 4 BHK in Muscat Yiti,"Yiti, Muscat•",4,4,274000,260,For Sale
7 bedroom villa for sale in sultan haitham city,"Sultan Haitham City, Muscat•",7,7,310000,413,For Sale
4 bedroom apartment for sale in sultan haitham city muscat,"Sultan Haitham City, Muscat•",4,4,204000,272,For Sale
3 bedroom apartment for sale in sultan haitham city,"Sultan Haitham City, Muscat•",3,4,163000,217,For Sale
2 bedroom apartment for sale in sultan haitham city muscat,"Sultan Haitham City, Muscat•",2,3,110000,147,For Sale
2 bedroom apartment for sale in sultan haitham city,"Sultan Haitham City, Muscat•",2,3,70000,109,For Sale
Villa for Sale with 5 Bedrooms in Muscat Bay,"Qantab, Muscat•",5,6,1000,646,For Sale
Apartment for Sale in almouj marina 2 bedroom,"The Wave (Almouj), Muscat•",2,2,245000,145,For Sale
Villa for Sale with 4 Bedrooms byTrump International Hotel,"Yiti, Muscat•",4,4,514000,170,For Sale
Aparment for sale 3BHK in Muscat Bay,"Qantab, Muscat•",3,3,199000,171,For Sale
Apartment for Sale in Al Mouj with 2 bedrooms,"The Wave (Almouj), Muscat•",2,1,175000,224,For Sale
Villa for Sale in Al Mouj Muscat with 6 Bedrooms,"The Wave (Almouj), Muscat•",6,7,1000,907,For Sale
5 bedroom villa for sale in Almouj Muscat,"The Wave (Almouj), Muscat•",5,6,499000,427,For Sale
شقة للبيع في المعبيلة الجنوبية – بسعر معقول Apartment for Sale in Sout,"Al Maabilah, Muscat•",2,2,28000,105,For Sale
للبيع شقة فخمة في المزن ريزيدنس - بلوك B | Luxury Apartment for Sale i,"Al Mawaleh, Muscat•",2,2,48000,109,For Sale
1 BR Freehold Off-Plan Apartment in Aida – Yiti,"Yiti, Muscat•",1,2,61000,71,For Sale
For Sale Villa 4BHK - Al Qurum,"Qurum, Muscat•",4,4,115000,260,For Sale
For Sale Fully Furnished Villa - Jebel Saifah,"Al Sifah, Muscat•",3,4,170000,145,For Sale
One-Bedroom Apartment  – Al Mouj Golf Links | 83 m² | Payment Plan,"The Wave (Almouj), Muscat•",1,1,155000,83,For Sale
For Sale 1 Bhk Flat In Al Mouj LAGOON,"The Wave (Almouj), Muscat•",1,2,110000,107,For Sale
For Sale 2 BHK Flat In Al Mouj Lagoon,"The Wave (Almouj), Muscat•",2,2,145000,127,For Sale
For sale a farm in Al Suwaiq - Al Nabra,"Suwaiq, Al Batinah•",6,8,1000,15,For Sale
For Sale Brand New 5 Bhk Villa In Al Khoud,"Al Khoud, Muscat•",5,6,137000,420,For Sale
For Sale Studio Free Hold Property /  In Muscat Bay,"Yiti, Muscat•",1,1,74000,83,For Sale
For Sale 3+1 Villa In Muscat Hills Free Hold,"Muscat Hills, Muscat•",3,4,224000,280,For Sale
For Sale  Residential Commercial Land In Qurum 29,"Qurum, Muscat•",3,3,1000,2,For Sale
For Sale 2 Bhk In Rimal Boucher,"Bosher, Muscat•",2,3,75000,103,For Sale
For Sale Shop in Boucher / Gubara South Behind Asala Towers,"Al Ghubrah, Muscat•",3,3,41000,31,For Sale
For Sale 1 Bhk In Boucher Near to Ammar ibn Yasir  Mosque,"Bosher, Muscat•",1,2,29000,67,For Sale
For Sale residential Commercial Land In Ghala Hits,"Ghala, Muscat•",3,3,2000,20,For Sale
For Sale Flats And Offices In Ghala (Residential Commercial Building),"Ghala, Muscat•",1,2,25000,55,For Sale
free Hold property any Nationalities can buy,"Al Khoud, Muscat•",1,1,39000,47,For Sale
For Sale Free Hold Open Spaces In Muscat Hills,"Muscat Hills, Muscat•",3,3,40000,38,For Sale
For Sale 1 Bhk Flat In Boucher First line directly opposite Oman Mall,"Bosher, Muscat•",1,2,35000,79,For Sale
For Sale Free Hold Studio In Maident Al Sultan Hyathem,"Al Seeb, Muscat•",3,1,33000,50,For Sale
3 BR Limited Offer Furnished Freehold Townhouse in Sultan Haitham City,"Al Maabilah, Muscat•",3,4,176000,240,For Sale
1 BR Limited Offer Freehold Furnished Apartment in Sultan Haitham City,"Al Maabilah, Muscat•",1,2,56000,50,For Sale
AMERAT | MODERN 4 BEDROOM VILLA FOR SALE,"Al Amarat, Muscat•",4,5,102000,270,For Sale
شقة للبيع في مجمع المُزن – الموالح الشمالية | Apartment for Sale in Al,"Al Mawaleh, Muscat•",1,2,40000,71,For Sale
*شقة للبيع - مبنى الطيف ١*  الخوض شارع مزون إعلان رقم 44,"Al Khoud, Muscat•",2,2,33000,110,For Sale
للبيع فندق في المعبيلة – موقع مميز وفرصة استثمارية,"Al Maabilah, Muscat•",3,3,500000,2,For Sale
شقة راقية للبيع في الطيف 1 - الخوض 7,"Al Khoud, Muscat•",2,2,37000,90,For Sale
شقق راقية تحت الانشاء للبيع في المعبيلة الجنوبية المرحلة الثامنة,"Al Maabilah, Muscat•",2,3,26000,100,For Sale
فيلا راقية للبيع خوض 6,"Al Khoud, Muscat•",7,7,99000,329,For Sale
"Luxurious apartments under construction for sale in Maabilah South, 8","Al Maabilah, Muscat•",2,3,25000,96,For Sale
شقة راقية للبيع في شادن – الحيل الشمالية | Elegant Apartment for Sale,"Al Hail, Muscat•",1,2,35000,80,For Sale
Spacious 2BHK Duplex Apartment For Sale in Sultan Haitham City- Muscat,"Sultan Haitham City, Muscat•",2,4,105000,138,For Sale
Spacious Corner 3BHK Townhouse For Sale in Sultan Haitham City- Muscat,"Sultan Haitham City, Muscat•",3,4,114000,194,For Sale
Corner 4 BHK Townhouse For Sale in Hay Alwafa - Sultan Haitham City,"Sultan Haitham City, Muscat•",4,5,123000,206,For Sale
Spacious 4 BHK Townhouse For Sale in Hay Alwafa - Sultan Haitham City,"Sultan Haitham City, Muscat•",4,5,121000,205,For Sale
Luxurious 5 BHK Villa For Sale in Hay Alwafa - Sultan Haitham City,"Sultan Haitham City, Muscat•",5,7,292000,508,For Sale
AMERAT | MODERN 4 BEDROOM VILLA,"Al Amarat, Muscat•",4,5,102000,265,For Sale
Modern 1 BHK Apartment with Balcony for Sale in Sustainable City- Yiti,"Yiti, Muscat•",1,2,93000,82,For Sale
شقه للبيع علي شارع مزون بجوار  مسجد السيده مزون,"Al Khoud, Muscat•",1,2,26000,70,For Sale
للبيع ارض صناعي ف منطقه الجفنين مساحه واسعه وبها ورشه بها دخل شهري,"Muscat - Other, Muscat•",3,3,120000,1,For Sale
فرصة استثمارية مميزة_ مكتب للبيع فى بوشر قرب عمان مول,"Bosher, Muscat•",3,3,60000,63,For Sale
Freehold Luxurious 1 BHK Apartment For Sale in Muscat Bay,"Muscat - Other, Muscat•",1,1,88000,79,For Sale
Lavish 3 BHK Penthouse with Pool for Sale in Wadi Zaha | Payment Plan,"Al Seeb, Muscat•",3,5,158000,195,For Sale
Luxurious 5BHK Villa for Sale in AIDA OCEANA | Flexible Payment Plan,"Yiti, Muscat•",5,6,646000,3,For Sale
For Sale Free Hold Units In Sultan Haythem City Hay Al Wafaa,"Sultan Haitham City, Muscat•",1,2,48000,67,For Sale
For Sale Free Hold One Bhk And Two Bhk In The Sustainable City (Yiti),"Yiti, Muscat•",1,2,90000,80,For Sale
Free Hold property For Sale Fully Furnished Studio Apartment,"Al Khoud, Muscat•",3,1,39000,45,For Sale
Freehold property/Any Nationalities can buy. For Sale Fully Furnished,"Al Khoud, Muscat•",1,1,47000,56,For Sale
For Sale 2 Bhk Apartment In Salalah ( Arina Residence),"Salalah, Dhofar•",2,3,58000,110,For Sale
For Sale 1 Bhk & 2 Bhk Apartments in Boucher (Boucher 94),"Bosher, Muscat•",1,2,28000,50,For Sale
Stylish Studio with Stunning View for Sale in Jebel Sifah,"Al Sifah, Muscat•",3,1,45000,52,For Sale
Luxurious 2BHK Apartment With Balcony For Sale in Uptown Muscat,"Muscat - Other, Muscat•",2,3,119000,154,For Sale
Luxury Spacious 2BHK Apartment For Sale in Uptown Muscat,"Muscat - Other, Muscat•",2,3,106000,129,For Sale
Spacious Beachfront 1 BHK Apartment in The Residence Mandarin Oriental,"Muscat - Other, Muscat•",1,2,200000,81,For Sale
Luxury Furnished 3BHK Villa For Sale in Trump Cliff Villas - Muscat,"Muscat - Other, Muscat•",3,5,722000,166,For Sale
SR- AR- 153 Villa for sale in almawaleh south/فيلا للبيع في الموالح ال,"Al Mawaleh, Muscat•",4,5,110000,330,For Sale
Upscale Furnished 3 BHK Villa for Sale in Trump Cliff Villas - Muscat,"Muscat - Other, Muscat•",3,5,664000,166,For Sale
Luxurious Furnished 3 BHK Villa for Sale in Trump Cliff Villa - Muscat,"Muscat - Other, Muscat•",3,4,455000,128,For Sale
Luxurious 3BHK Sky Villa for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",3,4,113000,133,For Sale
Spacious 2 BHK Apartment for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",2,3,90000,106,For Sale
Modern Apartment for Sale in Al Mouj – Marsa Garden | 145.6 m²,"The Wave (Almouj), Muscat•",2,2,160000,145,For Sale
Furnished 1-Bedroom Apartment with Golf View for Sale in Jebel Sifah,"Al Sifah, Muscat•",1,1,53000,61,For Sale
For Sale  1bedroom In Maident Al Sultan Hyathem 5y installment,"Sultan Haitham City, Muscat•",1,2,58000,75,For Sale
luxury flat in lagoun with installment,"The Wave (Almouj), Muscat•",1,2,110000,95,For Sale
LUXURY FLAT IN MUSCAT HILLS WITH REVENUE,"Muscat Hills, Muscat•",1,2,65000,85,For Sale
the opportunity to take the free hold visa with special price,"Muscat Hills, Muscat•",3,3,35000,22,For Sale
luxury ground floor in the best building inside almouj juman 1,"The Wave (Almouj), Muscat•",1,1,110000,88,For Sale
offer for limitted time flat in juman 2 with special price,"The Wave (Almouj), Muscat•",2,3,210000,145,For Sale
one Bedroom Apartment with Golf Lake View for Sale in Jebel Sifah,"Al Sifah, Muscat•",1,1,60000,83,For Sale
luxury flat in the best building in muscat hills,"Muscat Hills, Muscat•",1,2,66000,96,For Sale
luxury studio in muscat hills with 3 years installment,"Muscat Hills, Muscat•",3,1,47000,60,For Sale
luxury flat in muscat hills with 3years installment,"Muscat Hills, Muscat•",1,2,65000,80,For Sale
Exclusive Studio with Stunning View for Sale in Jebel Sifah,"Al Sifah, Muscat•",3,1,48000,58,For Sale
Exclusive Studio with Stunning View for Sale in Hawana Salalah,"Salalah, Dhofar•",3,1,45000,38,For Sale
"Exclusive Sea View 2+1 Bedroom Apartment, Jebel Sifah   شقة 2 غرف سيفة","Al Sifah, Muscat•",2,2,115000,124,For Sale
"‎شقة أرضية غرفتين، هوانا صلالة | Ground Floor 2BHK, Hawana Salalah","Salalah, Dhofar•",2,2,80000,125,For Sale
Stunning 2 Bedrooms Apartment for Sale in Jebel Sifah,"Al Sifah, Muscat•",2,2,140000,159,For Sale
Luxury Villa for Sale in jebel Sifah | فيلا فاخرة للبيع في جبل سيفة,"Al Sifah, Muscat•",5,5,1000,650,For Sale
شقة 3 غرف نوم في مدينة السلطان هيثم | Bedroom Apartment 3BHK,"Sultan Haitham City, Muscat•",3,3,104000,154,For Sale
احجز شقتك الآن في مدينة السلطان هيثم | Book Your Apartment 2BHK Now,"Sultan Haitham City, Muscat•",2,2,73000,109,For Sale
أجدد فلل الموج في جنان الموج مسقط | Jinan 6BHK Villa in Al Mouj Muscat,"The Wave (Almouj), Muscat•",6,8,1000,1,For Sale
شقة فاخرة في الموج – مروج,"The Wave (Almouj), Muscat•",1,1,80000,61,For Sale
3 Bedroom Villa for Sale in Aida,"Yiti, Muscat•",3,3,169000,125,For Sale
3 Bedroom Courtyard Villa for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",3,5,305000,265,For Sale
1 Bedroom Apartment For Sale in Juman 1,"The Wave (Almouj), Muscat•",1,2,145000,93,For Sale
Fully Modified 4 Bedroom Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",4,6,420000,525,For Sale
Lovely 4 Bedroom Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",3,3,425000,619,For Sale
1 Bedroom Apartment with Sea View for Sale,"The Wave (Almouj), Muscat•",1,2,150000,84,For Sale
2 Bedroom Partial Marina View Apartment for Sale,"The Wave (Almouj), Muscat•",2,2,163000,131,For Sale
3 Bedroom Courtyard Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",3,5,300000,269,For Sale
Beautiful 4 Bedroom Villa for Sale in Al Mouj,"The Wave (Almouj), Muscat•",4,6,395000,445,For Sale
3 Bedroom Townhouse for Sale in Al Mouj,"The Wave (Almouj), Muscat•",3,4,200000,217,For Sale
2 Bedroom Furnished Townhouse for Sale in Al Mouj,"The Wave (Almouj), Muscat•",2,3,165000,197,For Sale
1 Bedroom Apartment with Sea View for Sale,"The Wave (Almouj), Muscat•",1,2,148000,83,For Sale
Lovely Villa for Sale in MSQ,"Madinat As Sultan Qaboos, Muscat•",5,7,430000,720,For Sale
1 Bedroom Apartment for Sale in Juman 2,"The Wave (Almouj), Muscat•",1,2,135000,91,For Sale
4 Bedroom Villa For Sale in Muscat Hills,"Muscat Hills, Muscat•",4,6,425000,450,For Sale
Beautiful 2 Bedroom Plus Study Sea View Apartment for Sale in Al Mouj,"The Wave (Almouj), Muscat•",2,4,195000,157,For Sale
5 Bedroom Fully Extended Villa for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",5,7,385000,630,For Sale
3 BR + Maid’s Room Luxury Villa – Muscat Hills,"Muscat Hills, Muscat•",3,4,390000,471,For Sale
7 Bedroom Renovated Villa for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",7,9,700000,560,For Sale
Offplan 3 Bedroom Townhouse for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",3,5,200000,202,For Sale
Exclusive 6 Bedroom Offplan Villa in Al Mouj Muscat,"The Wave (Almouj), Muscat•",6,8,1000,907,For Sale
2 Bedroom Apartment For Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",2,4,190000,156,For Sale
Elegant 5 Bedroom Villa with Lake View for Sale in Al Mouj Muscat,"The Wave (Almouj), Muscat•",5,7,525000,534,For Sale
أرض كورنر واسعة على شارعين في الخوض – موقع مميز,"Al Khoud, Muscat•",3,3,270000,1,For Sale
أرض سكنية زاوية + سكة بأول خط في الخوض – موقع استثنائي,"Al Khoud, Muscat•",3,3,245000,1,For Sale
أرض كورنر بإطلالة بانورامية نادرة في القرم,"Qurum, Muscat•",3,3,290000,1,For Sale
أرض سكنية تجارية في قلب غلا داون تاون – موقع استثماري نادر,"Ghala, Muscat•",3,3,425000,878,For Sale
أرض سكنية تجارية استثمارية على الخط الأول – الموالح الجنوبية,"Al Mawaleh, Muscat•",3,3,1000,31,For Sale
أرض سكنية تجارية نادرة على شارع السلطان قابوس – الموالح الجنوبية,"Al Mawaleh, Muscat•",3,3,3000,10,For Sale
For Sale Elegant Villa in Al Mouj – Hadeeqat Al Ghadeer  Prime Loc,"The Wave (Almouj), Muscat•",4,4,295000,269,For Sale
Luxurious 2 BHK Apartment for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",2,3,80000,95,For Sale
Luxury New Studio Apartment for Sale in Sultan Haitham City,"Sultan Haitham City, Muscat•",3,1,47000,56,For Sale
Luxurious 3 BHK+Maids with Terrace for sale in Hay Alwafa,"Sultan Haitham City, Muscat•",3,4,119000,154,For Sale
Freehold Ready 1 BR Zaha | Kitchen Appliances included | Muscat Bay,"Muscat - Other, Muscat•",1,1,98000,79,For Sale
Freehold Ready 3BR Zaha Villa | Life-Time Oman Residency | Muscat Bay,"Muscat - Other, Muscat•",3,5,346000,357,For Sale
Freehold Ready 4BR Zaha Villa | Life-Time Oman Residency | Muscat Bay,"Muscat - Other, Muscat•",4,6,569000,422,For Sale
10% Down Payment | Attached Villa | Payment Plan | Aida Oceana,"Yiti, Muscat•",3,4,296000,288,For Sale
Big Luxurious 3 BHK Apartment for sale in Sustainable City Yiti,"Yiti, Muscat•",3,4,223000,172,For Sale
Standalone 4 BHK Villa with 20/80 Payment Plan for Sale in Wadi Zaha,"Al Seeb, Muscat•",4,5,340000,388,For Sale
Dazzling View| Balcony| Spacious 2 BHK Apartment for Sale in Solaris,"Al Sifah, Muscat•",2,2,91000,85,For Sale
عقارات مع اقامة دائمة | شقة غرفة نوم | موج مسقط | استثمار مربح,"The Wave (Almouj), Muscat•",1,1,90000,88,For Sale
شقة غرفة نوم | مسقط موج | تقسیط | تملک حر | طابق الاول | اطلاله جمیلة,"The Wave (Almouj), Muscat•",1,1,100000,107,For Sale
للبيع ارض سكني تجاري ف العامرات موقع مميز قريب من نيستو هايبر ماركت,"Al Amarat, Muscat•",3,3,115000,400,For Sale
شقة 2غرف مسقط|تقسيطApartment for sale/freehold/4 years installments,"The Wave (Almouj), Muscat•",2,3,199000,175,For Sale
للبيع ارض سكني تجارى ف موقع مميز منطقه غلا الصناعيه بجوار اوريدو عمان,"Ghala, Muscat•",3,3,400000,1,For Sale
Safe investment in oman | Pre -sale | apartment's installment|freehold,"The Wave (Almouj), Muscat•",1,2,125000,83,For Sale
افخم قصور علی شاطی | اطلالة البحر مباشرة | 6 غرف نوم | اقامة دائمة,"The Wave (Almouj), Muscat•",6,7,4000,1,For Sale
شقة للبیع | 1 غرفة نوم | تملک حر | مسقط موج | اطلالة المدینة,"The Wave (Almouj), Muscat•",1,1,99000,107,For Sale
Apartment for sale | 1-Br | Sustainable investment |freehold | Al mouj,"The Wave (Almouj), Muscat•",1,1,80000,65,For Sale
فيلا مستقلة للبيع في الموج مسقط | إطلالة ساحرة على البحيرة| تملک حر,"The Wave (Almouj), Muscat•",5,7,480000,680,For Sale
عرض ذهبی | محل تجاری للبیع | قید الانشاء | استثمار مربح | الموالح,"Al Mawaleh, Muscat•",3,3,44000,44,For Sale
فیلا مستقلة للبیع | اطلالة البحیرة| موج مسقط |امتلاک حر لجمیع الجنسیات,"The Wave (Almouj), Muscat•",4,5,450000,630,For Sale
Luxury Modern Studio for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",3,1,46000,55,For Sale
SR- RF- 149 Villa for Sale Maabela /فيلا للبيع – المعبيلة,"Al Maabilah, Muscat•",6,7,95000,370,For Sale
luxury 2 bedroom apartment in Murooj - شقة غرفتين فاخره في مروج,"The Wave (Almouj), Muscat•",2,2,160000,129,For Sale
أرض سكني تجاري أول خط على شارع المها – بوشر الخوير,"Al Khuwair, Muscat•",3,3,295000,400,For Sale
شقق جديدة وجاهزة للبيع في الخوض| Ready and new appartment for sale,"Al Khoud, Muscat•",2,2,41000,113,For Sale
شقق جديدة وجاهزة للبيع في الخوض| Ready and new appartment for sale,"Al Seeb, Muscat•",1,2,29000,59,For Sale
شقق قيد الانشاء للبيع- بوشر|Off- plan Apartments for Sale,"Bosher, Muscat•",2,3,54000,119,For Sale
شقة للبيع في بناية سما الخوير-Apartment for Sale in Al Khuwair,"Al Khuwair, Muscat•",2,2,53000,124,For Sale
للبيع فيلا بالمصنعه بتصميم عصري و مميز جدا فرصه ذهبيه ( استراحة ),"Al Masn'a, Al Batinah•",5,5,190000,1,For Sale
For Sale Free Hold Studio In Maident Al Sultan Hyathem *Wadi Zaha*,"Al Maabilah, Muscat•",1,2,35000,50,For Sale
SR- MH- 148 Villa for Sale in Al Amerat/ فيلا للبيع في العامرات,"Al Amarat, Muscat•",4,6,67000,340,For Sale
2 BR + Maid’s Room Charming Farmhouse with Private Pool in Jebel Sifah,"Al Sifah, Muscat•",2,2,190000,818,For Sale
2 BR Leasehold Amazing Apartment – Taqah Blue Beach | Salalah,"Salalah, Dhofar•",2,2,74000,61,For Sale
"2 BR Freehold Luxurious Apartment –at Mandarin Oriental, Shatti","Qurum, Muscat•",2,3,298000,132,For Sale
5 BR + Maid’s Room Freehold Modern Twin Villa in Sultan Haitham City,"Al Maabilah, Muscat•",5,6,174000,249,For Sale
"1 BR Coastal Living Apartment – The Great Escape, AIDA by DarGlobal","Yiti, Muscat•",1,2,96000,68,For Sale
"3 BR Leasehold Duplex Apartment Taqah Long beach, Salalah","Salalah, Dhofar•",3,4,125000,111,For Sale
2 BR Off Plan Apartment with Private Garden in Ghala Heights,"Ghala, Muscat•",2,3,45000,99,For Sale
1 BR Off Plan Apartment with Private Garden in Ghala Heights,"Ghala, Muscat•",1,2,35000,67,For Sale
2 BR Fantastic Modern Townhouse in Al Mouj,"The Wave (Almouj), Muscat•",2,3,185000,128,For Sale
1 BR Stunning Apartment – Al Mouj with Amenities,"The Wave (Almouj), Muscat•",1,2,95000,108,For Sale
1 BR Fantastic Apartment | Al Mouj,"The Wave (Almouj), Muscat•",1,2,95000,107,For Sale
2 BR Luxury Apartment in Al Mouj with Amenities,"The Wave (Almouj), Muscat•",2,2,132000,135,For Sale
3 BR Freehold Apartment with a Spacious Balcony in Sultan Haitham City,"Al Maabilah, Muscat•",3,3,110000,196,For Sale
4 BR + Maid’s Room Spacious Villa in Sultan Haitham City,"Al Maabilah, Muscat•",4,5,247000,456,For Sale
2 BR Modern Flat For Sale with Pool and Gym in Qurum,"Qurum, Muscat•",2,2,60000,118,For Sale
2 BR + Maid’s Room Incredible Apartment in Jebel Sifa,"Al Sifah, Muscat•",2,2,109000,124,For Sale
2 BR Off Plan Apartment in Yiti – Aida By Dar Global,"Yiti, Muscat•",2,2,180000,109,For Sale
1 BR Amazing Freehold Off Plan Apartment in Aida – Yiti,"Yiti, Muscat•",1,2,102000,69,For Sale
"3 BR Townhouse + Maid’s Room in Dar Al Zain, Seeb with Private Pool","Al Seeb, Muscat•",3,3,90000,245,For Sale
2 BR Fully Furnished Freehold Modern Flat in Boulevard Tower for Sale,"Muscat Hills, Muscat•",2,2,95000,109,For Sale
2 BR Freehold Fully Furnished Flat in Muscat Hills For Sale,"Muscat Hills, Muscat•",2,3,125000,172,For Sale
2 BR Luxury Freehold Apartment For Sale In The Links – Muscat Hills,"Muscat Hills, Muscat•",2,2,70000,98,For Sale
1 BR Brand New Flat for Sale in Al Mouj,"The Wave (Almouj), Muscat•",1,2,103000,104,For Sale
1 BR Large Apartment For Sale for All Nationalities – Muscat Hills,"Muscat Hills, Muscat•",1,2,77000,108,For Sale
3 + 1 BR Duplex Freehold Apartment with Sea View in Sifah For Sale,"Al Sifah, Muscat•",3,4,145000,162,For Sale
4BR Villa in Al Mouj – Golf Links | Resale + Payment Plan,"The Wave (Almouj), Muscat•",4,4,603000,314,For Sale
Villa For Sale فيلا راقية للبيع,"Barka, Al Batinah•",4,6,140000,1,For Sale
Villa for Saleفيلا للبيع,"Al Maabilah, Muscat•",7,5,70000,355,For Sale
Premium 1 BHK Apartment with Big Balcony for Sale in Hay Alwafa,"Sultan Haitham City, Muscat•",1,2,61000,77,For Sale
Easy Payment Plan | Modern 2BHK Apartment in Telal Al Qurum | Freehold,"Qurum, Muscat•",2,2,65000,89,For Sale
Deattached Villa | Payment Plan | Prime Location | Aida Oceana,"Yiti, Muscat•",4,5,491000,315,For Sale
Opulent Attached Villa | Flexible Payment Plan | Aida Oceana,"Yiti, Muscat•",3,4,311000,158,For Sale
RUWI | 2 FLOOR BUILDING IN MUMTAZ AREA FOR SALE,"Ruwi, Muscat•",3,3,240000,950,For Sale
WADI KABIR | WAREHOUSE/ LAND FOR SALE,"Al Wadi Al Kabir, Muscat•",3,3,870000,3,For Sale
WADI KABIR | WAREHOUSE FOR SALE,"Al Wadi Al Kabir, Muscat•",3,3,870000,3,For Sale
WADI KABIR | WAREHOUSE FOR SALE,"Al Wadi Al Kabir, Muscat•",3,3,870000,3,For Sale
RUWI | 2 FLOOR BUILDING IN MUMTAZ AREA,"Ruwi, Muscat•",3,3,240000,950,For Sale
1 BR Furnished Stunning Apartment – Al Mouj,"The Wave (Almouj), Muscat•",1,1,108000,87,For Sale
SR- HL- 146 Villa for Sale in Azaiba – Inside a Compound,"Azaiba, Muscat•",6,7,120000,370,For Sale
5 BR Spacious Villa in Mabaila South – Excellent Location,"Al Maabilah, Muscat•",5,6,165000,660,For Sale
امتلك محلًا تجاريًا راقيًا | مسقط هيلز | تملّك حرّلجميع الجنسيات |,"Muscat Hills, Muscat•",3,3,39000,17,For Sale
شقة غرفتین نوم | تقسیط | قید الانشاء | استثمار مربح | الموالح,"Al Mawaleh, Muscat•",2,3,36000,96,For Sale
شقة فاخرة للبیع | 1 غرفة نوم | عرض ذهبی | تقسیط | استثمار ذهبی,"Al Mawaleh, Muscat•",1,2,29000,78,For Sale
شقة فاخرة قيد الإنشاء | الموالح – السيب | تقسیط | 1 غرفة نوم,"Al Mawaleh, Muscat•",1,2,25000,61,For Sale
شقه قید الانشا للبیع | الموالح | تقسیط | سعر مناسب,"Al Mawaleh, Muscat•",1,2,26000,64,For Sale
تملک محلک التجاري | موالح 11 | استثمار مربح | اسعار تنافسیة,"Al Mawaleh, Muscat•",3,3,33000,30,For Sale
Exclusive Real Estate /Mouj Muscat | 2-Br| Lagoon Viewشقه للبیع تقسیط,"The Wave (Almouj), Muscat•",2,2,150000,119,For Sale
For Sale Land in Very Prime Location In Al Azaiba Beach Front,"Azaiba, Muscat•",3,3,7000,10,For Sale
Amazing Furnished Studio for Sale in Hawana Salalah – FSA82,"Salalah, Dhofar•",1,3,45000,40,For Sale
6 BR + Maid Room fantastic stand alone villa in QURUM for SALE,"Qurum, Muscat•",6,6,450000,1,For Sale
