property_name,sale_price,prop_location,prop_area,prop_bathrooms,number_of_rooms
تم تخفيض السعر فلاه العامرات المحج الأولى تتميز المنطقه بجميع الخدمات,"OMR 48,000","Al Amarat, Muscat•",300 SQM,4,3
سمائل الدسر٢,"OMR 14,000","Sumail, Al Dakhiliya•",600 SQM,not mentioned,not mentioned
Luxury 4+1 BHK Villa with Private Pool in Muscat Bay 76324666 LSV04,"OMR 460,000","Barr Al Jissah, Muscat•",422 SQM,5,5
فيلا للبيع في موالح الجنوبيه,"OMR 190,000","Al Mawaleh, Muscat•",680 SQM,8,5
متوفر لدينا مباني للبيع بجميع الاسعار / We have buildings for sale,"OMR 1,000,000","Azaiba, Muscat•","1,000 SQM",not mentioned,not mentioned
أنا المالك والملك لله وبموقع ممتاز,"OMR 22,500","Al Amarat, Muscat•",450 SQM,not mentioned,not mentioned
شقة سكنية للبيع,"OMR 43,500","Bosher, Muscat•",81 SQM,2,2
Industrial Land for sale in Misfah,"OMR 190,000","Misfah, Muscat•","1,824 SQM",not mentioned,not mentioned
للبيع أرض سكنية في ولاية بركاء قريبة من سوق بركاء,"OMR 28,000","Barka, Al Batinah•",765 SQM,not mentioned,not mentioned
فيلل العامرات الثامنه,"OMR 75,000","Al Amarat, Muscat•",300 SQM,6,6
بيع ارض سكني في العامرات العتكيه,"OMR 20,000","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
الخوض,"OMR 10,000","Al Khoud, Muscat•",123 SQM,not mentioned,not mentioned
flowershop for sale,"OMR 4,000","Al Khuwair, Muscat•",30 SQM,not mentioned,not mentioned
فيلا الشاطي القرم,"OMR 300,000","Qurum, Muscat•",396 SQM,9,5
ارض سكنيه المحج الاول,"OMR 45,000","Al Amarat, Muscat•",612 SQM,not mentioned,not mentioned
للبيع فيلا وشقتين ولاية ابراء مقابل مستشفى ابراء,"OMR 70,000","Ibra, Al Sharqiya•",580 SQM,5,5
شاليه للبيع عدونب مربع ج محافظة ظفار,"OMR 55,000","Salalah, Dhofar•",210 SQM,2,2
منزل للبيع في شافع قلعة العوامر,"OMR 36,000","Izki, Al Dakhiliya•",600 SQM,5,5
أرض زراعيه في المصنعه,"OMR 90,000","Al Masn'a, Al Batinah•","11,005 SQM",not mentioned,not mentioned
أرض سكنية في الرميس حلبان خلف الجامعة الألمانية*,"OMR 46,500","Al Maabilah, Muscat•",900 SQM,not mentioned,not mentioned
Residential/Commercial Land Al Misfah,"OMR 50,000","Misfah, Muscat•",400 SQM,not mentioned,not mentioned
أرض زراعية 5742م² للبيع في بركاء - موقع مميز وسعر ممتاز,"OMR 120,000","Barka, Al Batinah•","5,742 SQM",not mentioned,not mentioned
فرصة ذهبية ارض للاستثمار او البيع في الرميس,"OMR 50,000","Barka, Al Batinah•","1,592 SQM",not mentioned,not mentioned
سكني تجارية بمرتفعات حبراء مقابل قاعة قصر الأندلس,"OMR 25,000","Wadi Al Ma'awal, Al Batinah•",507 SQM,not mentioned,not mentioned
مصنعه,"OMR 6,500","Al Masn'a, Al Batinah•",621 SQM,not mentioned,not mentioned
ارضين شبك خلف مول بانوراما سكني تجاري,"OMR 800,000","Bosher, Muscat•","1,268 SQM",not mentioned,not mentioned
منزل للبيع المضيبي / house for sale mudiybe,"OMR 25,000","Al Mudaibi, Al Sharqiya•",250 SQM,3,3
بيع أرض تجاري سكني / bossiness hosing land for sale,"OMR 40,000","Al Mudaibi, Al Sharqiya•",414 SQM,not mentioned,not mentioned
ارض سكنية للبيع,"OMR 21,000","Sumail, Al Dakhiliya•",600 SQM,not mentioned,not mentioned
ارض للبيع قرب مدينة السلطان هيثم,"OMR 24,000","Barka, Al Batinah•",600 SQM,not mentioned,not mentioned
ارض للبيع سمائل العوينة,"OMR 14,000","Sumail, Al Dakhiliya•",750 SQM,not mentioned,not mentioned
بركاء الهرم ،، الهرم,"OMR 65,000","Barka, Al Batinah•",285 SQM,5,6
أرض للبيع في قريات حي الساحل المسح التواصل واتساب,"OMR 12,500","Qurayyat, Muscat•",600 SQM,not mentioned,not mentioned
فرصة ذهبية! أرض للبيع في موقع مميز وبسعر ممتاز و مساحتها 837,"OMR 8,900","Yunqul, Al Dhahirah•",837 SQM,not mentioned,not mentioned
مطلوب اراضي,"OMR 1,000","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
فيلا خط أول من الشارع العام كورنر,"OMR 100,000","Saham, Al Batinah•",510 SQM,6,6
ارض تجارية500,"OMR 18,500","Sohar, Al Batinah•",165 SQM,not mentioned,not mentioned
ارض سكنية للبيع - البريمي,"OMR 10,000","Al Buraimi, Al Buraimi•",612 SQM,not mentioned,not mentioned
سكني تجاري للبيع في بركاء,"OMR 45,000","Barka, Al Batinah•",619 SQM,not mentioned,not mentioned
a new big twin villa for sale,"OMR 170,000","Al Mawaleh, Muscat•",500 SQM,8,8
سكني تجاري المعبيله الثامنة,OMR 105,"Al Maabilah, Muscat•",400 SQM,not mentioned,not mentioned
أرض للبيع العامرات مدينة النهضة مربع ٣,"OMR 23,000","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
ارض للبيع من المالك مباشرة,"OMR 13,000","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
SHOP FOR SALE,"OMR 3,500","Mutrah, Muscat•",10 SQM,not mentioned,not mentioned
فيلا كورنر للبيع المعبيلة المرحلة التاسعة,"OMR 72,000","Al Maabilah, Muscat•",278 SQM,6,4
تملك شقتك الفاخرة والعصرية في قلب المعبيلة الجنوبية على شارع النور واض,"OMR 29,000","Al Maabilah, Muscat•",94 SQM,2,2
بيت للبيع,"OMR 35,000","Suwaiq, Al Batinah•",600 SQM,not mentioned,not mentioned
فله للبيع خلف الجامعه الألمانيه,"OMR 80,000","Al Maabilah, Muscat•",580 SQM,7,7
أستراحة,"OMR 52,000","Barka, Al Batinah•",613 SQM,4,4
النهضه الثانيه ولايه السويق زاويه خط اول من خط الغاز,"OMR 5,800","Suwaiq, Al Batinah•",619 SQM,not mentioned,not mentioned
للبيع ارض سكني في نزوى مخطط طيمسا بعد حديقة النعام,"OMR 9,500","Nizwa, Al Dakhiliya•",600 SQM,not mentioned,not mentioned
ارض للبيع في سيح الاحمر,"OMR 28,500","Bidbid, Al Dakhiliya•",600 SQM,not mentioned,not mentioned
2 BHK Golf View for sale in Golf Tower/Muscat Hills,"OMR 110,000","Muscat Hills, Muscat•",142 SQM,3,2
ارض للبيع,"OMR 8,600","Al Masn'a, Al Batinah•",623 SQM,not mentioned,not mentioned
ارض تجارية في طاقة,"OMR 20,000","Taqah, Dhofar•",420 SQM,not mentioned,not mentioned
مخبز تنور للبيع,"OMR 1,000","Al Mawaleh, Muscat•",40 SQM,not mentioned,not mentioned
أرض سكنية للبيع في العوينة 3,"OMR 10,000","Sumail, Al Dakhiliya•",641 SQM,not mentioned,not mentioned
ولاية بوشر,"OMR 46,000","Bosher, Muscat•",118 SQM,3,3
ارض للبيع ولاية عبري ( القرين ),"OMR 9,000","Ibri, Al Dhahirah•",750 SQM,not mentioned,not mentioned
ارض سكني تجاري,"OMR 18,000","Al Mudaibi, Al Sharqiya•",230 SQM,not mentioned,not mentioned
ارض شبه كورنر مميزه في الانصب الثانية,"OMR 125,000","Ansab, Muscat•",673 SQM,not mentioned,not mentioned
ارض للبيع العامرات 11/1,"OMR 28,000","Al Amarat, Muscat•",645 SQM,not mentioned,not mentioned
Beauty parlor sale & salon equipment,"OMR 2,000","Al Maabilah, Muscat•",100 SQM,not mentioned,not mentioned
شقة الأحلام بناء شخصي,"OMR 31,000","Al Amarat, Muscat•",135 SQM,4,3
Al Mouj one bedroom apartment for sale,"OMR 95,000","The Wave (Almouj), Muscat•",85 SQM,1,1
للبيع استيديو في ولاية مرباط  مشروع مراسي مرباط السكني,"OMR 18,500","Salalah, Dhofar•",41 SQM,1,1
Coffee Shop for Sale – Running Business,"OMR 5,000","Ghala, Muscat•",70 SQM,not mentioned,not mentioned
ارض للبيع في العامرات الحاجر حيم,"OMR 13,500","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
أرض سكنية القريحة السادسة قريب مزرعة الطاؤس,"OMR 6,200","Suwaiq, Al Batinah•",611 SQM,not mentioned,not mentioned
أبوعبالي الساحل الردة مطلوب ٧٤٠٠ من المالك,"OMR 7,400","Al Masn'a, Al Batinah•",627 SQM,not mentioned,not mentioned
ارض للبيع في طيمسا 6,"OMR 18,300","Nizwa, Al Dakhiliya•",849 SQM,not mentioned,not mentioned
منازل جاهزه للبيع,"OMR 32,000","Saham, Al Batinah•",200 SQM,4,4
فلة راقية للبيع . . ب 85 ألف,"OMR 85,000","Al Rustaq, Al Batinah•",490 SQM,7,5
السوادي الجنوب,"OMR 9,000","Barka, Al Batinah•",616 SQM,not mentioned,not mentioned
توين فيلا مرتفعات عامرات سادسه مع الاثاث بحلتها جديده,"OMR 54,000","Al Amarat, Muscat•",241 SQM,5,4
بركاء منطقة الفليج المعمورة,"OMR 12,000","Barka, Al Batinah•",751 SQM,not mentioned,not mentioned
villa for sell,"OMR 165,000","Bosher, Muscat•",335 SQM,7,12
العامرات حيم,"OMR 15,000","Al Amarat, Muscat•",613 SQM,not mentioned,not mentioned
cafe and restaurant,"OMR 15,000","Al Khuwair, Muscat•",308 SQM,not mentioned,not mentioned
سكني تجاري للبيع بشكل عاجل,"OMR 12,200","Al Khaboura, Al Batinah•",600 SQM,not mentioned,not mentioned
بركاء/ الفليج/ الفليج المعمورة,"OMR 11,200","Barka, Al Batinah•",630 SQM,not mentioned,not mentioned
بيت تكون من شقتين وغرفه سايق وملحق,"OMR 6,700,000","Salalah, Dhofar•",600 SQM,not mentioned,not mentioned
